"","tSNE1","tSNE2","class","true_label"
"1",9.36672616881928,3.43662913655937,"10","Basal"
"2",28.93045370255,-12.0457992449424,"6","Basal"
"3",24.1594247701407,1.71860011664289,"6","Basal"
"4",27.6905635118177,17.618677456919,"2","LumB"
"5",-40.6384156122617,-4.14335839032109,"4","LumB"
"6",16.7845225698874,5.87803802841052,"1","LumB"
"7",27.9848775652811,-25.5637433793052,"1","Basal"
"8",-17.8375769933506,-21.563442814529,"2","LumB"
"9",27.6266043752856,18.890208984822,"2","LumB"
"10",-22.8295943006809,24.5359982542852,"4","Her2"
"11",-1.47766721510834,-22.6621381876722,"2","LumB"
"12",27.8347391294131,-24.4699605324347,"2","Her2"
"13",-17.0486025779511,29.4363102943389,"1","LumB"
"14",-27.3929859232917,25.2154361881118,"1","LumA"
"15",7.74256951381462,-6.37315867491885,"9","LumB"
"16",-36.3641007717018,0.287337839103826,"4","LumB"
"17",-10.0262586427978,22.2686036570892,"4","LumA"
"18",22.3573821239433,23.9826564488937,"2","LumB"
"19",3.33934014245224,20.7408667246805,"10","LumB"
"20",21.0717090202758,0.728430715972551,"2","Basal"
"21",33.6249220156123,-4.35107756453401,"2","LumB"
"22",35.3528517122187,13.7568590929449,"2","LumA"
"23",8.17124019451015,20.6542596295827,"4","LumB"
"24",-39.2142257205061,-7.99114267582701,"9","LumB"
"25",9.69043025487916,28.9235996546281,"9","LumB"
"26",-31.1750923908081,14.9971276335608,"1","LumB"
"27",25.4084545561896,-29.2536421848906,"4","LumB"
"28",16.1801137506652,-7.64256289928555,"10","Basal"
"29",-33.1976259566108,-23.5564465989154,"5","LumA"
"30",10.3119117414343,29.9387458646232,"9","LumB"
"31",-0.323751975617284,-32.4164588531061,"9","LumB"
"32",20.7572404529661,1.60150993904137,"2","Basal"
"33",-31.8377845604834,-16.7853035953207,"4","LumB"
"34",6.25715461092218,24.0010423013512,"9","LumB"
"35",13.5098969725713,20.2760920389175,"1","LumB"
"36",-32.3336703002804,17.6383503135705,"9","Her2"
"37",-6.85477092827332,5.31394233316595,"2","LumB"
"38",34.6491999431293,-8.30482744127315,"6","Basal"
"39",-15.1914862586597,-27.4529207803204,"1","LumA"
"40",-6.88533232929577,30.9312412718306,"2","LumB"
"41",-3.8994787313254,25.3029526995021,"10","Her2"
"42",-31.2025037376256,4.66952410443232,"10","LumB"
"43",6.12834392503981,35.1120645443834,"9","LumB"
"44",-29.4065847680675,6.57282637135818,"2","LumA"
"45",-7.80430657475532,10.0420352015432,"10","Her2"
"46",26.3374212231705,9.44324056541312,"1","LumA"
"47",10.3545545877387,8.61524058834669,"1","Basal"
"48",1.04244465812918,-1.14633753197143,"9","LumB"
"49",36.6227476062281,12.0864891432408,"6","Basal"
"50",29.7081464484605,-3.97702233880812,"6","Basal"
"51",-40.5398978434374,-6.53641685817529,"9","Basal"
"52",-1.41474463241047,25.426145309487,"10","Basal"
"53",17.2270261207155,5.81863790590118,"2","LumB"
"54",4.05612782732892,13.4105885855557,"10","Basal"
"55",-4.07907029580362,35.3468807083286,"4","LumB"
"56",7.18120604747749,30.4546703469922,"1","Basal"
"57",-12.5755874976155,-27.2098476448031,"1","LumB"
"58",-33.8887829971952,2.19562197276189,"1","Basal"
"59",30.9156176975065,-11.891687028415,"4","LumB"
"60",-1.1794812931709,-32.3044627412477,"1","LumB"
"61",-10.0656424095735,9.9801828448647,"9","LumB"
"62",4.13600453113332,-9.05790156228866,"1","Her2"
"63",22.7166278777393,7.62974713089788,"1","LumA"
"64",-38.6886453316101,-0.655544640143778,"6","Basal"
"65",7.43473906963777,-26.591368355485,"1","LumB"
"66",12.4017680191266,34.4931952325575,"9","Her2"
"67",-34.3643216925564,-12.5503671800027,"9","LumA"
"68",-17.8303693069893,-21.2523431118464,"4","LumA"
"69",-3.76151457617568,-8.20763287032173,"2","Basal"
"70",28.4397813570579,-12.9968030425494,"6","Basal"
"71",17.8530313705901,-17.2342253862152,"10","Basal"
"72",-40.0933962684176,1.7374453089486,"4","LumB"
"73",-30.2916058914025,17.4332651571407,"9","LumB"
"74",34.8745976559749,9.55600346141468,"1","LumB"
"75",-28.0973115689638,24.912697222905,"1","Her2"
"76",6.03721313607849,33.9051818422401,"1","LumA"
"77",23.4838831551088,14.0422263315235,"9","LumA"
"78",9.7918733259897,2.39566422997466,"10","Basal"
"79",-32.3799805672689,-16.5331627159217,"4","LumB"
"80",6.76628082208595,-8.1045702377369,"10","Her2"
"81",13.510845464083,-23.1890503704439,"9","Basal"
"82",-32.759300569854,-20.1179725387942,"10","LumB"
"83",9.54677612507155,-8.71100627325721,"6","Basal"
"84",26.0894814284632,17.9406888262813,"1","LumB"
"85",0.904575567493824,-34.1367718113557,"1","LumB"
"86",-11.2081662754522,20.1240356783381,"2","LumA"
"87",-11.8306545128288,40.9069577136833,"1","Basal"
"88",32.3535985059936,-12.56072566157,"9","LumB"
"89",5.4340172993175,-23.5558166945935,"9","LumB"
"90",-33.6164001067579,-26.4453316915023,"9","LumB"
"91",0.652938698056281,11.2842598693712,"10","Basal"
"92",33.5396926355025,-8.57427503951725,"2","Basal"
"93",35.4300698900955,-0.414069923907547,"2","Basal"
"94",-12.973932431037,-12.4866207934056,"9","LumB"
"95",21.5278746916466,6.8853314514007,"4","LumB"
"96",20.9625814042483,22.5708019697818,"2","Her2"
"97",-4.81194840566533,37.7587853629686,"9","LumB"
"98",-40.9954417062044,-6.76758028335488,"9","LumB"
"99",24.6737097628187,23.7117105032048,"2","Normal"
"100",4.17474654091998,-31.4325224793281,"4","LumB"
"101",14.0448110004653,-13.4192397606799,"2","LumB"
"102",-9.77505981793112,19.2770726791085,"2","LumB"
"103",2.03721436437641,-4.69775389394385,"9","LumB"
"104",-1.59797872891858,-10.2133312677353,"4","LumB"
"105",-37.0493384054891,9.51577566704658,"4","LumB"
"106",21.3035382148954,-16.9598828214599,"3","Basal"
"107",-40.0164960596895,-2.15554871535389,"4","LumA"
"108",16.1899209728747,3.90627908924216,"1","LumB"
"109",14.1261271410577,7.63460004620346,"4","LumB"
